Old Date,Bullish,Neutral,Bearish,Total,Bullish 8-Week Mov Avg,Bull-Bear Spread,Bullish Average,Bullish Average + St. Dev,Bullish Average - St. Dev,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close,,coverted Date,Date
6/30/2018,0.284483,0.307471,0.408046,1,0.368306,-0.123563,0.382715766,0.484453115,0.280978417,2774.86,2698.67,2699.63,,18-Jun,18-Jun
5/31/2018,0.350181,0.386282,0.263538,1.000001,0.341175375,0.086643,0.382715766,0.484453115,0.280978417,2742.24,2676.81,2724.01,,18-May,18-May
4/30/2018,0.369085,0.375394,0.255521,1,0.326363375,0.113564,0.382715766,0.484453115,0.280978417,2717.49,2612.67,2639.4,,18-Apr,18-Apr
3/31/2018,0.319361,0.327345,0.353293,0.999999,0.369870875,-0.033932,0.382715766,0.484453115,0.280978417,2739.14,2585.89,2605,,18-Mar,18-Mar
2/28/2018,0.446512,0.325581,0.227907,1,0.47870375,0.218605,0.382715766,0.484453115,0.280978417,2754.42,2637.08,2701.33,,18-Feb,18-Feb
1/31/2018,0.454545,0.305195,0.24026,1,0.491267,0.214285,0.382715766,0.484453115,0.280978417,2852.97,2778.38,2837.54,,18-Jan,18-Jan
12/31/2017,0.526455,0.267196,0.206349,1,0.413639625,0.320106,0.382715766,0.484453115,0.280978417,2694.44,2676.11,2682.62,,17-Dec,17-Dec
11/30/2017,0.359459,0.324324,0.316216,0.999999,0.385354,0.043243,0.382715766,0.484453115,0.280978417,2634.89,2589.17,2626.07,,17-Nov,17-Nov
10/31/2017,0.396396,0.273273,0.33033,0.999999,0.3712145,0.066066,0.382715766,0.484453115,0.280978417,2578.29,2544,2557.15,,17-Oct,17-Oct
9/30/2017,0.333333,0.37931,0.287356,0.999999,0.331218875,0.045977,0.382715766,0.484453115,0.280978417,2511.75,2488.03,2507.04,,17-Sep,17-Sep
8/31/2017,0.25,0.351064,0.398936,1,0.31904425,-0.148936,0.382715766,0.484453115,0.280978417,2460.31,2428.2,2457.59,,17-Aug,17-Aug
7/31/2017,0.344595,0.412162,0.243243,1,0.32229125,0.101352,0.382768446,0.484583765,0.280953128,2481.69,2463.85,2477.83,,17-Jul,17-Jul
6/30/2017,0.297143,0.434286,0.268571,1,0.30804825,0.028572,0.382748929,0.484665365,0.280832493,2450.42,2419.38,2440.69,,17-Jun,17-Jun
5/31/2017,0.328571,0.371429,0.3,1,0.310680125,0.028571,0.38289472,0.48492304,0.280866399,2405.58,2352.72,2404.39,,17-May,17-May
4/30/2017,0.380488,0.302439,0.317073,1,0.309617875,0.063415,0.382988356,0.485073786,0.280902927,2398.16,2335.05,2387.45,,17-Apr,17-Apr
3/31/2017,0.302181,0.323988,0.373832,1.000001,0.339911,-0.071651,0.382962866,0.485159125,0.280766606,2363.78,2322.25,2361.13,,17-Mar,17-Mar
2/28/2017,0.384615,0.292308,0.323077,1,0.373221125,0.061538,0.383076526,0.485393803,0.280759248,2366.71,2322.17,2362.82,,17-Feb,17-Feb
1/31/2017,0.315789,0.349282,0.334928,0.999999,0.420473,-0.019139,0.383264739,0.485631394,0.280898084,2299.55,2257.02,2298.37,,17-Jan,17-Jan
12/31/2016,0.455696,0.28692,0.257384,1,0.446456875,0.198312,0.383315723,0.485753992,0.280877454,2273.82,2249.11,2249.92,,16-Dec,16-Dec
11/30/2016,0.498938,0.280255,0.220807,1,0.327291125,0.278131,0.383075142,0.485537076,0.280613209,2204.8,2172.2,2204.72,,16-Nov,16-Nov
10/31/2016,0.247549,0.411765,0.340686,1,0.26158925,-0.093137,0.382707075,0.485013706,0.280400445,2154.790039,2130.090088,2139.429932,,16-Oct,16-Oct
9/30/2016,0.24,0.388889,0.371111,1,0.2892405,-0.131111,0.3827056,0.485123007,0.280288194,2179.98999,2139.570068,2171.370117,,16-Sep,16-Sep
8/31/2016,0.294243,0.409382,0.296375,1,0.325834625,-0.002132,0.382669272,0.485195142,0.280143402,2193.42,2168.5,2175.44,,16-Aug,16-Aug
7/31/2016,0.3125,0.403409,0.284091,1,0.298324875,0.028409,0.382696194,0.485340968,0.28005142,2175.629883,2159.070068,2166.580078,,16-Jul,16-Jul
6/30/2016,0.289125,0.376658,0.334218,1.000001,0.2396585,-0.045093,0.382883782,0.485544533,0.280223031,2113.32,1991.68,2070.77,,16-Jun,16-Jun
5/31/2016,0.177515,0.5286,0.293886,1.000001,0.2507995,-0.116371,0.382996043,0.485800502,0.280191583,2094.72998,2025.910034,2090.540039,,16-May,16-May
4/30/2016,0.273663,0.440329,0.286008,1,0.31136125,-0.012345,0.383207799,0.486055705,0.280359894,2111.050049,2077.52002,2095.149902,,16-Apr,16-Apr
3/31/2016,0.271805,0.470588,0.257606,0.999999,0.297858875,0.014199,0.383373709,0.486289785,0.280457632,2072.209961,2022.48999,2063.949951,,16-Mar,16-Mar
2/29/2016,0.311947,0.373894,0.314159,1,0.246110125,-0.002212,0.383588378,0.486544587,0.28063217,1946.7,1871.44,1929.8,,16-Feb,16-Feb
1/31/2016,0.297535,0.302817,0.399648,1,0.243965625,-0.102113,0.383786728,0.486792707,0.280780748,1916.99,1812.29,1882.95,,16-Jan,16-Jan
12/31/2015,0.250729,0.51312,0.236152,1.000001,0.2884,0.014577,0.383924714,0.487050351,0.280799077,2081.56,2005.93,2063.36,,15-Dec,15-Dec
11/30/2015,0.323601,0.416058,0.260341,1,0.353956,0.06326,0.384031301,0.48726385,0.280798751,2097.06,2051.99,2090.11,,15-Nov,15-Nov
10/31/2015,0.403922,0.390196,0.205882,1,0.34362925,0.19804,0.383859086,0.487169947,0.280548225,2090.35,2017.22,2090.35,,15-Oct,15-Oct
9/30/2015,0.321199,0.391863,0.286938,1,0.308136375,0.034261,0.383622365,0.487009652,0.280235077,2020.86,1939.19,1966.97,,15-Sep,15-Sep
8/31/2015,0.325,0.292308,0.382692,1,0.28306725,-0.057692,0.383900772,0.487227793,0.280573751,2103.47,1867.01,1940.51,,15-Aug,15-Aug
7/31/2015,0.211055,0.38191,0.407035,1,0.269971,-0.19598,0.384232798,0.487488234,0.280977362,2132.82,2063.52,2108.57,,15-Jul,15-Jul
6/30/2015,0.355556,0.427778,0.216667,1.000001,0.2679445,0.138889,0.384502385,0.487809338,0.281195433,2129.87,2082.1,2108.58,,15-Jun,15-Jun
5/31/2015,0.270019,0.478585,0.251397,1.000001,0.286362,0.018622,0.384674762,0.488058346,0.281291179,2134.72,2099.18,2123.48,,15-May,15-May
4/30/2015,0.308362,0.472125,0.219512,0.999999,0.319571125,0.08885,0.384907437,0.48829287,0.281522003,2125.92,2091.05,2106.85,,15-Apr,15-Apr
3/31/2015,0.384298,0.371901,0.243802,1.000001,0.381096125,0.140496,0.384907437,0.48829287,0.281522003,2114.86,2061.05,2061.05,,15-Mar,15-Mar
2/28/2015,0.453731,0.343284,0.202985,1,0.420394625,0.250746,0.384907437,0.48829287,0.281522003,2119.59,2085.44,2113.86,,15-Feb,15-Feb
1/31/2015,0.441718,0.334356,0.223926,1,0.443576375,0.217792,0.384907437,0.48829287,0.281522003,2064.62,2001.49,2002.16,,15-Jan,15-Jan
12/31/2014,0.509434,0.301887,0.188679,1,0.4865695,0.320755,0.384907437,0.48829287,0.281522003,2093.55,2018.98,2090.57,,14-Dec,14-Dec
11/30/2014,0.521452,0.270627,0.207921,1,0.491851125,0.313531,0.384907437,0.48829287,0.281522003,2075.76,2040.37,2067.56,,14-Nov,14-Nov
10/31/2014,0.493711,0.295597,0.210692,1,0.426841125,0.283019,0.384907437,0.48829287,0.281522003,1991.4,1909.38,1982.3,,14-Oct,14-Oct
