MSN,YYYYMM,Value,Column_Order,Description,Unit,Right,Left,Converted Date
TETCBUS,198706,6.283858,12,Total Primary Energy Consumption,Quadrillion Btu,6,1987,Jun-87
TETCBUS,198707,6.630484,12,Total Primary Energy Consumption,Quadrillion Btu,7,1987,Jul-87
TETCBUS,198708,6.518294,12,Total Primary Energy Consumption,Quadrillion Btu,8,1987,Aug-87
TETCBUS,198709,6.127542,12,Total Primary Energy Consumption,Quadrillion Btu,9,1987,Sep-87
TETCBUS,198710,6.366409,12,Total Primary Energy Consumption,Quadrillion Btu,10,1987,Oct-87
TETCBUS,198711,6.346123,12,Total Primary Energy Consumption,Quadrillion Btu,11,1987,Nov-87
TETCBUS,198712,7.281541,12,Total Primary Energy Consumption,Quadrillion Btu,12,1987,Dec-87
TETCBUS,198713,79.054456,12,Total Primary Energy Consumption,Quadrillion Btu,13,1987,13/1987
TETCBUS,198801,7.804136,12,Total Primary Energy Consumption,Quadrillion Btu,1,1988,Jan-88
TETCBUS,198802,7.311849,12,Total Primary Energy Consumption,Quadrillion Btu,2,1988,Feb-88
TETCBUS,198803,7.300926,12,Total Primary Energy Consumption,Quadrillion Btu,3,1988,Mar-88
TETCBUS,198804,6.453888,12,Total Primary Energy Consumption,Quadrillion Btu,4,1988,Apr-88
TETCBUS,198805,6.394683,12,Total Primary Energy Consumption,Quadrillion Btu,5,1988,May-88
TETCBUS,198806,6.511855,12,Total Primary Energy Consumption,Quadrillion Btu,6,1988,Jun-88
TETCBUS,198807,6.750241,12,Total Primary Energy Consumption,Quadrillion Btu,7,1988,Jul-88
TETCBUS,198808,6.992534,12,Total Primary Energy Consumption,Quadrillion Btu,8,1988,Aug-88
TETCBUS,198809,6.344903,12,Total Primary Energy Consumption,Quadrillion Btu,9,1988,Sep-88
TETCBUS,198810,6.591078,12,Total Primary Energy Consumption,Quadrillion Btu,10,1988,Oct-88
TETCBUS,198811,6.70819,12,Total Primary Energy Consumption,Quadrillion Btu,11,1988,Nov-88
TETCBUS,198812,7.544911,12,Total Primary Energy Consumption,Quadrillion Btu,12,1988,Dec-88
TETCBUS,198813,82.709172,12,Total Primary Energy Consumption,Quadrillion Btu,13,1988,13/1988
TETCBUS,198901,7.643419,12,Total Primary Energy Consumption,Quadrillion Btu,1,1989,Jan-89
TETCBUS,198902,7.233498,12,Total Primary Energy Consumption,Quadrillion Btu,2,1989,Feb-89
TETCBUS,198903,7.545703,12,Total Primary Energy Consumption,Quadrillion Btu,3,1989,Mar-89
TETCBUS,198904,6.664216,12,Total Primary Energy Consumption,Quadrillion Btu,4,1989,Apr-89
TETCBUS,198905,6.63914,12,Total Primary Energy Consumption,Quadrillion Btu,5,1989,May-89
TETCBUS,198906,6.697346,12,Total Primary Energy Consumption,Quadrillion Btu,6,1989,Jun-89
TETCBUS,198907,6.859659,12,Total Primary Energy Consumption,Quadrillion Btu,7,1989,Jul-89
TETCBUS,198908,7.031494,12,Total Primary Energy Consumption,Quadrillion Btu,8,1989,Aug-89
TETCBUS,198909,6.484541,12,Total Primary Energy Consumption,Quadrillion Btu,9,1989,Sep-89
TETCBUS,198910,6.794031,12,Total Primary Energy Consumption,Quadrillion Btu,10,1989,Oct-89
TETCBUS,198911,6.94356,12,Total Primary Energy Consumption,Quadrillion Btu,11,1989,Nov-89
TETCBUS,198912,8.248724,12,Total Primary Energy Consumption,Quadrillion Btu,12,1989,Dec-89
TETCBUS,198913,84.785325,12,Total Primary Energy Consumption,Quadrillion Btu,13,1989,13/1989
TETCBUS,199001,7.812967,12,Total Primary Energy Consumption,Quadrillion Btu,1,1990,Jan-90
TETCBUS,199002,7.007056,12,Total Primary Energy Consumption,Quadrillion Btu,2,1990,Feb-90
TETCBUS,199003,7.309418,12,Total Primary Energy Consumption,Quadrillion Btu,3,1990,Mar-90
TETCBUS,199004,6.771439,12,Total Primary Energy Consumption,Quadrillion Btu,4,1990,Apr-90
TETCBUS,199005,6.750376,12,Total Primary Energy Consumption,Quadrillion Btu,5,1990,May-90
TETCBUS,199006,6.759777,12,Total Primary Energy Consumption,Quadrillion Btu,6,1990,Jun-90
TETCBUS,199007,7.036447,12,Total Primary Energy Consumption,Quadrillion Btu,7,1990,Jul-90
TETCBUS,199008,7.283532,12,Total Primary Energy Consumption,Quadrillion Btu,8,1990,Aug-90
