Date,Value
12/31/2016,97314710
12/31/2015,97410967
12/31/2014,98391552
12/31/2013,97223138
12/31/2012,94454840
12/31/2011,96897848
12/31/2010,97543976
12/31/2009,94093700
12/31/2008,98861525
12/31/2007,100991264
12/31/2006,99447077
12/31/2005,100183716
12/31/2004,100097583
12/31/2003,97915776
12/31/2002,97648367
12/31/2001,96143798
12/31/2000,98807639
12/31/1999,96628206
12/31/1998,95029805
12/31/1997,94748492
12/31/1996,94089700
12/31/1995,91093327
12/31/1994,89113599
12/31/1993,87393191
12/31/1992,85787680
12/31/1991,84434783
12/31/1990,84506007
12/31/1989,84776434
12/31/1988,82760410
12/31/1987,79005567
12/31/1986,76639363
12/31/1985,76464077
12/31/1984,76571095
12/31/1983,72934367
12/31/1982,73058784
12/31/1981,76141756
12/31/1980,78092506
12/31/1979,80882446
12/31/1978,80021769
12/31/1977,77988301
12/31/1976,76002450
12/31/1975,71986573
12/31/1974,73947572
12/31/1973,75755267
12/31/1972,72705040
12/31/1971,69186565
12/31/1970,67741611
12/31/1969,65596682
12/31/1968,62414722
12/31/1967,58926572
12/31/1966,57026015
12/31/1965,54027593
12/31/1964,51826046
12/31/1963,49661147
12/31/1962,47824415
12/31/1961,45731168
12/31/1960,45079292
