Date,Value
2016-12-31,97314710.0
2015-12-31,97410967.0
2014-12-31,98391552.0
2013-12-31,97223138.0
2012-12-31,94454840.0
2011-12-31,96897848.0
2010-12-31,97543976.0
2009-12-31,94093700.0
2008-12-31,98861525.0
2007-12-31,100991264.0
2006-12-31,99447077.0
2005-12-31,100183716.0
2004-12-31,100097583.0
2003-12-31,97915776.0
2002-12-31,97648367.0
2001-12-31,96143798.0
2000-12-31,98807639.0
1999-12-31,96628206.0
1998-12-31,95029805.0
1997-12-31,94748492.0
1996-12-31,94089700.0
1995-12-31,91093327.0
1994-12-31,89113599.0
1993-12-31,87393191.0
1992-12-31,85787680.0
1991-12-31,84434783.0
1990-12-31,84506007.0
1989-12-31,84776434.0
1988-12-31,82760410.0
1987-12-31,79005567.0
1986-12-31,76639363.0
1985-12-31,76464077.0
1984-12-31,76571095.0
1983-12-31,72934367.0
1982-12-31,73058784.0
1981-12-31,76141756.0
1980-12-31,78092506.0
1979-12-31,80882446.0
1978-12-31,80021769.0
1977-12-31,77988301.0
1976-12-31,76002450.0
1975-12-31,71986573.0
1974-12-31,73947572.0
1973-12-31,75755267.0
1972-12-31,72705040.0
1971-12-31,69186565.0
1970-12-31,67741611.0
1969-12-31,65596682.0
1968-12-31,62414722.0
1967-12-31,58926572.0
1966-12-31,57026015.0
1965-12-31,54027593.0
1964-12-31,51826046.0
1963-12-31,49661147.0
1962-12-31,47824415.0
1961-12-31,45731168.0
1960-12-31,45079292.0
