Date_Index,Total Primary Energy Consumption (Quadrillion BTUs),Bullish Sentiment,Neutral Sentiment,Bearish Sentiment,Bull-Bear Spread,S&P 500 Weekly Close
7-1987,6.630484,0.26,0.48,0.26,0.0,318.66
8-1987,6.518294,0.52,0.18,0.3,0.22,323.04
9-1987,6.127542,0.53,0.17,0.3,0.23,320.16
10-1987,6.366409,0.44,0.23,0.33,0.11,251.79
11-1987,6.346123,0.27,0.46,0.27,0.0,240.34
12-1987,7.281541000000001,0.25,0.49,0.26,-0.01,247.08
1-1988,7.804136,0.26,0.45,0.29,-0.03,257.07
2-1988,7.3118490000000005,0.3,0.51,0.19,0.11,262.46
3-1988,7.300926,0.45,0.38,0.17,0.28,258.51
4-1988,6.453888,0.22,0.48,0.3,-0.08,261.33
5-1988,6.394683000000001,0.28,0.52,0.2,0.08,253.42
6-1988,6.511855000000001,0.33,0.44,0.23,0.1,273.78
7-1988,6.750241,0.23,0.54,0.23,0.0,272.02
8-1988,6.992534,0.28,0.4,0.32,-0.04,259.68
9-1988,6.3449029999999995,0.26,0.44,0.3,-0.04,271.91
10-1988,6.5910779999999995,0.4,0.38,0.22,0.18,278.53
11-1988,6.708189999999999,0.17,0.44,0.39,-0.22,267.23
12-1988,7.544911,0.24,0.54,0.22,0.02,277.72
1-1989,7.643419000000001,0.32,0.49,0.19,0.13,293.82
2-1989,7.233498,0.29,0.45,0.26,0.03,287.13
3-1989,7.545703,0.18,0.42,0.4,-0.22,294.87
4-1989,6.664216000000001,0.31,0.4,0.29,0.02,309.64
5-1989,6.639139999999999,0.48,0.31,0.21,0.27,321.59
6-1989,6.6973460000000005,0.4,0.34,0.26,0.14,317.98
7-1989,6.859659,0.41,0.25,0.34,0.07,342.15
8-1989,7.031494,0.45,0.24,0.31,0.14,350.52
9-1989,6.484541,0.33,0.38,0.29,0.04,349.15
10-1989,6.7940309999999995,0.36,0.33,0.31,0.05,335.06
11-1989,6.943560000000001,0.27,0.4,0.33,-0.06,343.97
12-1989,8.248724000000001,0.35,0.31,0.34,0.01,353.4
1-1990,7.8129669999999996,0.24,0.38,0.38,-0.14,325.8
2-1990,7.0070559999999995,0.24,0.38,0.38,-0.14,324.15
3-1990,7.309417999999999,0.34,0.35,0.31,0.03,339.94
4-1990,6.771439,0.28,0.35,0.37,-0.09,329.11
5-1990,6.750375999999999,0.39,0.32,0.29,0.1,354.58
6-1990,6.759777000000001,0.31,0.31,0.38,-0.07,358.02
7-1990,7.036447,0.52,0.24,0.24,0.28,353.44
8-1990,7.283532000000001,0.23,0.16,0.61,-0.38,322.56
9-1990,6.618049000000001,0.26,0.2,0.54,-0.28,306.05
10-1990,6.8124139999999995,0.23,0.19,0.58,-0.35,304.71
11-1990,6.776438000000001,0.22,0.33,0.45,-0.23,322.22
12-1990,7.546645,0.3,0.3,0.4,-0.1,328.72
1-1991,8.078661,0.25,0.25,0.5,-0.25,336.07
2-1991,6.866738000000001,0.57,0.2,0.23,0.34,365.65
3-1991,7.1440660000000005,0.47,0.28,0.25,0.22,375.22
